date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:57	95442/95442	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2009:23:50%20GMT	https://kamarajiasacademy.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/index.html	(from )
14:52:57	101/101	---M--	200	added ('OK')	text/plain	date:Tue,%2009%20Aug%202022%2010:18:31%20GMT	https://kamarajiasacademy.com/robots.txt		(from )
14:52:58	17488/17488	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Apr%202019%2018:43:36%20GMT	https://kamarajiasacademy.com/images/favicon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/images/favicon.png	(from https://kamarajiasacademy.com/)
14:52:58	17703/17703	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Apr%202019%2018:43:36%20GMT	https://kamarajiasacademy.com/images/apple-touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/images/apple-touch-icon.png	(from https://kamarajiasacademy.com/)
14:52:58	27600/27600	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Apr%202019%2018:43:30%20GMT	https://kamarajiasacademy.com/images/apple-touch-icon-72x72.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/images/apple-touch-icon-72x72.png	(from https://kamarajiasacademy.com/)
14:52:58	27211/27211	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Nov%202022%2009:23:51%20GMT	https://kamarajiasacademy.com/images/apple-touch-icon-114x114.pn	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/images/apple-touch-icon-114x114.pn	(from https://kamarajiasacademy.com/)
14:52:58	52069/52069	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Apr%202019%2018:43:36%20GMT	https://kamarajiasacademy.com/images/apple-touch-icon-144x144.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/images/apple-touch-icon-144x144.png	(from https://kamarajiasacademy.com/)
14:52:59	141994/141994	---M--	200	added ('OK')	text/css	date:Sat,%2006%20Aug%202022%2009:56:42%20GMT	https://kamarajiasacademy.com/css/plugins.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/css/plugins.css	(from https://kamarajiasacademy.com/)
14:52:59	484952/484952	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202022%2013:28:20%20GMT	https://kamarajiasacademy.com/css/style.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/css/style.css	(from https://kamarajiasacademy.com/)
14:52:59	105275/105275	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Nov%202022%2009:23:54%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/connect.facebook.net/en_US/fbevents.js	(from https://kamarajiasacademy.com/)
14:53:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2002%20Nov%202022%2009:23:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/www.googletagmanager.com/gtm.85445.delayed	(from https://kamarajiasacademy.com/)
14:53:00	27192/27192	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Nov%202022%2009:23:53%20GMT	https://kamarajiasacademy.com/www.youtube.com	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/www.youtube.com	(from https://kamarajiasacademy.com/)
14:53:00	35140/35140	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2009:23:53%20GMT	https://kamarajiasacademy.com/admission	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/admission.html	(from https://kamarajiasacademy.com/)
14:53:00	38692/38692	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2009:23:53%20GMT	https://kamarajiasacademy.com/prelims-registration	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day15/Web72/Site72/kamarajiasacademy.com/prelims-registration.html	(from https://kamarajiasacademy.com/)
